Memory size:299
Search done in 17 miliseconds = 00:00:00.0173806
---------Stops---------
Stop id, Stop name
33 ÜSTBOSTANCI
34 "GÜMÜŞÇÜ SOKAK"
437 "ATATÜRK İLKÖĞRETİM O"
438 ÇINAR
434 "ALİ NİHAT TARLAN CAD"
432 "BOSTANCI SANAYİİ"
431 SİTELER
430 ÇEŞME
429 İÇERENKÖY
428 "YENİ YOL"
427 "YÜCE TARLA"
426 KÜÇÜKBAKKALKÖY
425 "KÜÇÜKBAKKALKÖY ÇARŞI"
424 AŞEVİ
423 ÇEŞME
422 CAMİ
421 "KILIÇ REİS SOKAK"
420 "FAİK SOMER LİSESİ"
419 "ÇİÇEK KENT"
418 "TURGUT ÖZAL BLV."
263 ATAŞEHİR
262 KAMELYA
887 "SİNPAŞ KORU KONUT"
888 "ADIGÜZEL SİTESİ"
889 "PINAR SİTESİ"
890 "BARAJ YOLU"
1082 "YUNUS EMRE İÖO"
924 KEMALPAŞA
922 "İMES E KAPISI"
921 "İMES BULVARI"
627 İ.M.E.S.
626 MODOKO
625 "YUKARI DUDULLU"
624 DUDULLU
317 "ÇEKMEKÖY SAPAĞI"
316 "ÇEKMEKÖY YOLU"
315 "ULUS CAD."
314 "ACAR SOKAK"
313 "KÜLTÜR SOKAK"
311 KÖYİÇİ
307 KÖŞK
306 ÇEKMEKÖY
531 BENZİNLİK
532 "NURTEPE 11ÇB"
533 "TURCAN SK."
---------Routes---------
Route id, Route name
2 2
50 13AB
19 10
13 8M
49 13
69 14ŞB
560 320
53 14A
32 11G
15 9Ç
28 11CT
15 9Ç
28 11CT
